Sentence,Words,Template,Keywords,Slope_F1A,Inflection_F1A,Screening_F1A,Screening_F1P,Screening_F1V,Screening_F2A,Screening_F2P,Screening_F2V,Screening_M1A,Screening_M1P,Screening_M1V,Screening_M2A,Screening_M2P,Screening_M2V,Naturalness,Discomfort,Responses
1,Der er mange drenge der deltager i konkurrencer,1,"drenge, deltager, konkurrencer",8.479896951,-4.828702871,1,1,1,1,1,1,1,0,1,1,1,1,6.33,0,15
2,Hun var berømt fordi hun samarbejdede med præsidenten,2,"berømt, samarbejdede, præsidenten",21.67194084,-6.203770799,1,0,1,1,1,1,1,1,1,1,1,1,6.43,0,14
3,Vores butik medvirkede i en kampagne sidste forår,3,"butik, medvirkede, forår",18.60066084,-6.796455092,1,1,1,1,1,1,1,1,1,1,1,1,5.93,0,15
4,Bossen understøtter hvordan de vander planterne,4,"bossen, vander, planterne",16.42491928,-2.041726828,1,1,1,1,1,1,1,1,1,1,1,1,2.25,0,8
5,Det var enestående at initiativet førte til handling,5,"enestående, initiativet, handling",14.27567384,-5.429306472,1,1,1,1,1,1,1,1,1,1,1,1,5.73,0,15
6,I maj meldte min søn sig ind i en fagforening,6,"maj, søn, fagforening",25.60013452,-6.156738087,1,1,1,1,1,1,1,1,0,1,1,1,6.71,0,14
7,Hun vil naturligvis gerne flytte billederne til et galleri,7,"flytte, billederne, galleri",13.64997297,-3.793387062,1,1,1,1,1,1,1,1,0,1,0,1,6.14,0,14
8,Vi mener bestemt at de igen har skærpet tonen,8,"mener, skærpet, tonen",14.04641583,-4.260779865,1,1,1,1,1,1,1,1,1,1,1,1,5.79,0,14
9,Det er en institution som forener mange borgere,9,"institution, forener, borgere",15.1056512,-6.645033921,1,1,1,1,1,1,1,1,1,1,1,1,5.88,0,8
10,Han undrede sig over deres fantasi og deres mod,10,"undrede, fantasi, mod",13.21456145,-6.245680538,1,1,1,1,1,1,1,1,1,0,0,1,6.36,0,14
11,Der var et marked der lå på det grønne område,1,"marked, lå, område",16.9606782,-4.060874333,1,1,1,1,1,1,1,1,1,1,1,1,5.38,0,8
12,Det er dejligt hvis fonden gerne vil støtte byggeriet,2,"dejligt, fonden, byggeriet",5.318347813,-2.667652026,1,1,1,0,1,1,1,1,1,1,1,1,6.38,0,8
13,Deres skarpe reaktion tog fokus væk fra turneringen,3,"reaktion, tog, turneringen",35.10160069,-4.049863621,1,1,1,1,1,1,1,1,1,1,0,1,5.93,0,15
14,De gættede på hvem der først ville hoppe ned fra scenen,4,"gættede, hoppe, scenen",20.37220938,-5.432719336,1,1,1,0,1,1,1,1,1,1,0,1,6.2,0,15
15,Det er naturligt at ægteskabet former vores tilværelse,5,"naturligt, former, tilværelse",12.33264246,-6.346099101,1,1,1,1,1,0,1,1,1,1,1,1,5.86,0,14
16,For tiden fotograferer hun mest sygeplejersker,6,"tiden, fotograferer, sygeplejersker",25.42926698,-6.556011441,1,1,1,1,1,1,1,1,0,1,1,1,6.36,0,14
17,En revisor havde netop oprettet den for et ægtepar,7,"revisor, oprettet, ægtepar",12.75537566,-3.109585006,1,1,1,0,0,1,1,1,1,1,1,1,5.53,0,15
18,Det beviste at man kan dele alle lige tal med to,8,"beviste, dele, tal",29.37306121,-6.901493048,1,1,1,1,1,1,1,1,1,1,1,1,5,0,8
