Sentence,Words,Template,List,Offset,Keywords,Slope_F1A,Inflection_F1A,Screening_F1A,Screening_F1P,Screening_F1V,Screening_F2A,Screening_F2P,Screening_F2V,Screening_M1A,Screening_M1P,Screening_M1V,Screening_M2A,Screening_M2P,Screening_M2V,Naturalness,Discomfort,Responses
741,Der er mange begivenheder der kan ændre markedet,1,1,-1.992626144,"begivenheder, ændre, markedet",20.40171149,-2.887764635,1,1,1,1,1,0,1,1,0,1,1,1,5.78,0,9
631,Der var en hel del der efterlyste flere forbedringer,1,1,-0.521781054,"del, efterlyste, forbedringer",15.05737343,-4.358609724,1,1,1,1,1,1,1,1,0,1,1,1,5.5,0,8
1091,Der var en af angriberne der jublede efter kampen,1,1,0.294753738,"angriberne, jublede, kampen",14.83082663,-5.175144517,1,1,1,1,1,0,1,1,1,1,0,1,6.5,0,8
1062,Vi er naturligvis utilfredse fordi I har afbrudt festivalen,2,1,-0.665171801,"utilfredse, afbrudt, festivalen",11.72128776,-4.215218977,1,1,1,1,0,1,1,1,1,1,0,1,5.6,1,10
802,Hun er intens når hun diskuterer med de studerende,2,1,2.055795099,"intens, diskuterer, studerende",11.44629203,-6.936185877,1,1,1,1,1,1,1,1,1,1,1,1,6,0,8
812,De var optimistiske fordi de kunne tyde symbolerne,2,1,-1.849565027,"optimistiske, tyde, symbolerne",22.58055632,-3.030825751,1,1,1,1,1,1,1,1,1,1,1,1,5.88,0,8
3,Vores butik medvirkede i en kampagne sidste forår,3,1,1.916064313,"butik, medvirkede, forår",18.60066084,-6.796455092,1,1,1,1,1,1,1,1,1,1,1,1,5.93,0,15
883,Deltagerne skal næsten kun løbe langs med kysten,3,1,-0.924425805,"deltagerne, løbe, kysten",26.49660434,-3.955964973,1,1,1,1,1,1,1,1,0,1,1,1,6,0,9
873,De hyrede mange i lufthavnen den her sommer,3,1,-1.766170706,"hyrede, lufthavnen, sommer",29.11510687,-3.114220072,1,1,1,1,1,1,1,1,1,1,1,1,5.63,0,8
54,Han skal varsle hvornår han maler vores tag,4,1,0.381844356,"varsle, maler, tag",16.93129386,-5.262235134,1,1,1,1,1,1,1,1,1,1,0,1,5.44,0,16
914,Vi kan beregne hvordan man kan producere flere flasker,4,1,-1.804819701,"beregne, producere, flasker",30.47773053,-3.075571077,1,1,1,1,1,1,1,1,0,1,0,1,6.89,0,9
854,Vi vil fokusere på hvordan vi kan bidrage til byggeriet,4,1,0.160826795,"fokusere, bidrage, byggeriet",9.714216759,-5.041217573,1,1,1,1,1,1,1,1,0,1,1,1,6.2,0,10
55,Det er rimeligt at kandidaten selv finder en fotograf,5,1,-1.622228099,"rimeligt, finder, fotograf",12.12940742,-3.25816268,1,1,1,1,1,1,0,1,1,1,1,1,6.44,0,16
135,Det var specielt at en ingeniør havde forfattet et eventyr,5,1,1.514649512,"specielt, ingeniør, eventyr",7.750892541,-6.39504029,1,1,1,1,1,1,1,1,0,1,0,1,5.65,0,17
425,Det er romantisk at han giftede sig med sin sygeplejerske,5,1,1.521223209,"romantisk, giftede, sygeplejerske",17.50019888,-6.401613987,1,1,1,1,1,1,1,0,1,1,1,1,6.5,0,8
446,I april skulle vi have registreret vores overskud,6,1,1.876944716,"april, registreret, overskud",14.32490035,-6.757335494,1,1,1,1,1,1,1,1,1,1,1,1,6.08,1,13
776,Efter kaffen kan vi lige sammenligne vores lister,6,1,-1.925315263,"kaffen, sammenligne, lister",16.33895931,-2.955075515,1,1,1,1,1,1,1,1,1,1,1,1,5.89,1,9
926,I november åbner vi endelig for publikum igen,6,1,-1.361922434,"november, åbner, publikum",8.826452672,-3.518468344,1,1,1,1,1,0,1,1,1,1,1,0,6.75,0,8
697,Mægleren har allerede oplyst os om ejendommen,7,1,-1.227928898,"mægleren, oplyst, ejendommen",33.19955067,-3.65246188,1,1,1,1,0,1,1,1,0,1,1,1,6.63,0,8
497,De skal formidle deres pointer til vælgerne,7,1,-1.365093039,"formidle, pointer, vælgerne",27.70859767,-3.515297739,1,1,1,1,1,1,1,1,1,1,1,1,6,0,14
997,Jeg har netop afleveret alle pakkerne til folketinget,7,1,1.603545592,"afleveret, pakkerne, folketinget",27.48393503,-6.48393637,1,1,1,1,1,1,1,1,0,1,1,0,6.33,0,9
458,Han svarede at lovgivningen selvfølgelig gælder,8,1,-0.26028602,"svarede, lovgivningen, gælder",5.501438437,-4.620104758,1,1,1,1,1,1,1,1,1,1,1,1,6.77,0,13
1008,Hun insisterer på at jeg skal instruere musicalen,8,1,0.689290862,"insisterer, instruere, musicalen",12.87193674,-5.56968164,1,1,1,1,1,1,1,1,1,1,0,1,6.63,0,8
1188,Jeg skal nok sørge for at hun kommer i børnehave,8,1,0.01081527,"sørge, kommer, børnehave",9.171525661,-4.891206048,1,1,1,1,1,1,1,1,1,1,0,1,6.88,0,8
729,Det var præsidenten selv som havde udsat mødet,9,1,0.887624818,"præsidenten, udsat, mødet",14.24012864,-5.768015596,1,1,1,1,1,1,1,1,0,1,1,1,5.6,0,10
1049,Det var min kollega som havde organiseret vores lejr,9,1,-1.067283751,"kollega, organiseret, lejr",10.92880804,-3.813107028,1,1,1,1,1,1,1,1,0,1,1,1,5.56,0,9
1129,Det var nogle af vores medlemmer som stiftede banken,9,1,1.673377503,"medlemmer, stiftede, banken",19.39646533,-6.553768282,1,1,1,1,1,1,1,1,1,1,0,1,6.63,0,8
1100,Hun provokerede både oppositionen og sine tilhængere,10,1,-0.38683219,"provokerede, oppositionen, tilhængere",15.15440439,-4.493558589,1,1,1,1,1,0,1,1,1,1,0,1,5.09,0,11
1140,De ville meget gerne udbrede deres ideer og teorier,10,1,0.062966325,"udbrede, ideer, teorier",19.44184303,-4.943357104,1,1,1,1,0,1,1,1,1,1,0,1,6.75,1,8
280,Han har både drevet et flyselskab og et landbrug,10,1,-0.201660135,"drevet, flyselskab, landbrug",16.3484995,-4.678730644,1,1,1,1,1,1,1,1,0,1,0,1,6.13,0,8
5,Det var enestående at initiativet førte til handling,5,2,0.548915694,"enestående, initiativet, handling",14.27567384,-5.429306472,1,1,1,1,1,1,1,1,1,1,1,1,5.73,0,15
